emitter_country,year,emissions_gtc
USA,1750,0
USA,1751,0
USA,1752,0
USA,1753,0
USA,1754,0
USA,1755,0
USA,1756,0
USA,1757,0
USA,1758,0
USA,1759,0
USA,1760,0
USA,1761,0
USA,1762,0
USA,1763,0
USA,1764,0
USA,1765,0
USA,1766,0
USA,1767,0
USA,1768,0
USA,1769,0
USA,1770,0
USA,1771,0
USA,1772,0
USA,1773,0
USA,1774,0
USA,1775,0
USA,1776,0
USA,1777,0
USA,1778,0
USA,1779,0
USA,1780,0
USA,1781,0
USA,1782,0
USA,1783,0
USA,1784,0
USA,1785,0
USA,1786,0
USA,1787,0
USA,1788,0
USA,1789,0
USA,1790,0
USA,1791,0
USA,1792,0
USA,1793,0
USA,1794,0
USA,1795,0
USA,1796,0
USA,1797,0
USA,1798,0
USA,1799,0
USA,1800,6.888719346049046e-5
USA,1801,7.288065395095367e-5
USA,1802,7.88708446866485e-5
USA,1803,8.08675749318801e-5
USA,1804,9.085122615803815e-5
USA,1805,9.284795640326976e-5
USA,1806,9.085122615803815e-5
USA,1807,1.0283160762942779e-4
USA,1808,1.06825068119891e-4
USA,1809,1.0982016348773843e-4
USA,1810,1.1381362397820164e-4
USA,1811,1.2180054495912808e-4
USA,1812,1.317841961852861e-4
USA,1813,1.4176784741144413e-4
USA,1814,1.5274986376021798e-4
USA,1815,1.637318801089918e-4
USA,1816,1.807040871934605e-4
USA,1817,1.9567956403269754e-4
USA,1818,2.1265177111716622e-4
USA,1819,2.076599455040872e-4
USA,1820,2.1564686648501362e-4
USA,1821,2.2563051771117167e-4
USA,1822,2.356141689373297e-4
USA,1823,2.4559782016348776e-4
USA,1824,2.7654713896457767e-4
USA,1825,3.0949318801089915e-4
USA,1826,3.584130790190736e-4
USA,1827,3.9435422343324253e-4
USA,1828,4.3428882833787465e-4
USA,1829,4.891989100817438e-4
USA,1830,5.690681198910082e-4
USA,1831,6.169896457765668e-4
USA,1832,8.236512261580382e-4
USA,1833,9.614256130790191e-4
USA,1834,9.21491008174387e-4
USA,1835,0.0011760741144414169
USA,1836,0.0012888893732970028
USA,1837,0.001445632697547684
USA,1838,0.0013707553133514986
USA,1839,0.0015035378746594006
USA,1840,0.0016003792915531335
USA,1841,0.0016932272479564035
USA,1842,0.0018849133514986377
USA,1843,0.002115535694822888
USA,1844,0.0025358474114441413
USA,1845,0.003053000544959128
USA,1846,0.0034633286103542237
USA,1847,0.004106275749318801
USA,1848,0.004573510626702996
USA,1849,0.004964869754768392
USA,1850,0.005393168392370573
USA,1851,0.006712008719346049
USA,1852,0.007300045776566758
USA,1853,0.008218541689373297
USA,1854,0.009035204359673024
USA,1855,0.010397972752043596
USA,1856,0.010909135694822887
USA,1857,0.011186681198910082
USA,1858,0.011348416348773843
USA,1859,0.012348778201634878
USA,1860,0.012925833242506811
USA,1861,0.012446617983651227
USA,1862,0.012928828337874659
USA,1863,0.014934543869209808
USA,1864,0.015982827247956403
USA,1865,0.016027753678474116
USA,1866,0.016139570572207086
USA,1867,0.019854487193460488
USA,1868,0.022439254495912806
USA,1869,0.02553019291553134
USA,1870,0.026871995640326975
USA,1871,0.02807103215258856
USA,1872,0.03441564250681199
USA,1873,0.03801275204359673
USA,1874,0.03659307683923706
USA,1875,0.036988429427792915
USA,1876,0.03619073569482289
USA,1877,0.04010233024523161
USA,1878,0.0392107901907357
USA,1879,0.04781170572207085
USA,1880,0.05413739373297003
USA,1881,0.05727326839237057
USA,1882,0.06414004059945504
USA,1883,0.06917781198910081
USA,1884,0.07291269155313351
USA,1885,0.07415865476839238
USA,1886,0.07832783542234334
USA,1887,0.08375499754768391
USA,1888,0.1018733234332425
USA,1889,0.09142843869209809
USA,1890,0.10946792070844687
USA,1891,0.11646446839237058
USA,1892,0.12273820708446868
USA,1893,0.12373156321525886
USA,1894,0.1158175310626703
USA,1895,0.13077604386920982
USA,1896,0.13103064468664852
USA,1897,0.1363180196185286
USA,1898,0.14858895068119893
USA,1899,0.17044523651226157
USA,1900,0.1805826643051771
USA,1901,0.19660150626702996
USA,1902,0.20830946730245234
USA,1903,0.2437076068119891
USA,1904,0.24034264904632152
USA,1905,0.26879630000000004
USA,1906,0.2821447465940054
USA,1907,0.32802762752043596
USA,1908,0.28686999073569486
USA,1909,0.31763108719346045
USA,1910,0.34648011771117165
USA,1911,0.3429609054495913
USA,1912,0.36609413569482285
USA,1913,0.39306322534059945
USA,1914,0.35912267166212536
USA,1915,0.3726694694822888
USA,1916,0.4138911801089918
USA,1917,0.4553053324250681
USA,1918,0.476217459400545
USA,1919,0.4030405474114442
USA,1920,0.47363642806539513
USA,1921,0.38792059046321525
USA,1922,0.3912147792915531
USA,1923,0.5168217223433242
USA,1924,0.46275754523160767
USA,1925,0.4790457634877385
USA,1926,0.5193349185286104
USA,1927,0.5075603196185287
USA,1928,0.49887467302452315
USA,1929,0.5349901814713897
USA,1930,0.4754300749318801
USA,1931,0.40460289509536784
USA,1932,0.3427174760217983
USA,1933,0.36753200572207084
USA,1934,0.39133411498637605
USA,1935,0.4066157583106267
USA,1936,0.4668529891008175
USA,1937,0.48843217247956405
USA,1938,0.41299536185286106
USA,1939,0.4552735839237057
USA,1940,0.5108757577656676
USA,1941,0.5568107754768392
USA,1942,0.598955310081744
USA,1943,0.6190694686648502
USA,1944,0.6661727732970026
USA,1945,0.6429142741144414
USA,1946,0.6150963465940055
USA,1947,0.6773166182561308
USA,1948,0.7036635302452318
USA,1949,0.5898492626702998
USA,1950,0.6924690523160764
USA,1951,0.7135084438692099
USA,1952,0.6951178332425069
USA,1953,0.7119417891008174
USA,1954,0.6782870749318801
USA,1955,0.7434191683923705
USA,1956,0.7792425253405995
USA,1957,0.7726446716621252
USA,1958,0.7484841523160763
USA,1959,0.7715904801089919
USA,1960,0.7894109103542235
USA,1961,0.7865656926430519
USA,1962,0.8157270201634876
USA,1963,0.8518512324250681
USA,1964,0.8894034250681199
USA,1965,0.926251189373297
USA,1966,0.9730813514986376
USA,1967,1.0096060547683925
USA,1968,1.0465128621253408
USA,1969,1.0994347866485012
USA,1970,1.1824171904632153
USA,1971,1.1894405264305175
USA,1972,1.2459919942779292
USA,1973,1.3037664335149863
USA,1974,1.2590790929155313
USA,1975,1.2201739735694825
USA,1976,1.2936139544959129
USA,1977,1.332261089918256
USA,1978,1.3463603514986375
USA,1979,1.364675370027248
USA,1980,1.3101623326975478
USA,1981,1.276885969482289
USA,1982,1.2117383972752045
USA,1983,1.2068628694822887
USA,1984,1.2702781844686648
USA,1985,1.2676792542234332
USA,1986,1.2706172940054496
USA,1987,1.3148350743869208
USA,1988,1.3760947623978204
USA,1989,1.3983451160762943
USA,1990,1.393311900544959
USA,1991,1.3781828174386923
USA,1992,1.4080329283378747
USA,1993,1.4352433405994551
USA,1994,1.4601700403269757
USA,1995,1.4772486280653951
USA,1996,1.5287688253405995
USA,1997,1.5494455027247958
USA,1998,1.5615938950953678
USA,1999,1.5816536564032697
USA,2000,1.637740695640327
USA,2001,1.6089595626702997
USA,2002,1.6203734512261583
USA,2003,1.6381028596730245
USA,2004,1.6659419291553133
USA,2005,1.6715317365122615
USA,2006,1.6489558708446865
USA,2007,1.6705733400544958
USA,2008,1.61146533133515
USA,2009,1.492700186920981
USA,2010,1.5465358133514986
USA,2011,1.5095840539509537
USA,2012,1.4546861972752043
USA,2013,1.491623098092643
USA,2014,1.5048520986376022
USA,2015,1.4636976994550408
USA,2016,1.4299792727520435
USA,2017,1.4190057978201636
USA,2018,1.4647113389645778
USA,2019,1.432102508719346
USA,2020,1.284133671117166
